rank,name,sport,team,nationality,position,wikipedia_slug,slug
1,Kylian Mbappé,football,Real Madrid,French,Forward,Kylian_Mbappé,kylian_mbappé
2,Erling Haaland,football,Manchester City,Norwegian,Forward,Erling_Haaland,erling_haaland
3,Vinícius Júnior,football,Real Madrid,Brazilian,Forward,Vinícius_Júnior,vinícius_júnior
4,Jude Bellingham,football,Real Madrid,English,Midfielder,Jude_Bellingham,jude_bellingham
5,Mohamed Salah,football,Liverpool,Egyptian,Forward,Mohamed_Salah,mohamed_salah
6,Kevin De Bruyne,football,Manchester City,Belgian,Midfielder,Kevin_De_Bruyne,kevin_de_bruyne
7,Pedri,football,Barcelona,Spanish,Midfielder,Pedri,pedri
8,Rodri,football,Manchester City,Spanish,Midfielder,"Rodri_(footballer,_born_1996)",rodri
9,Robert Lewandowski,football,Barcelona,Polish,Forward,Robert_Lewandowski,robert_lewandowski
10,Neymar Jr.,football,Al Hilal,Brazilian,Forward,Neymar,neymar_jr
