rank,name,sport,team,nationality,position,wikipedia_slug,slug
1,Novak Djokovic,tennis,N/A,Serbian,Singles,Novak_Djokovic,novak_djokovic
2,Carlos Alcaraz,tennis,N/A,Spanish,Singles,Carlos_Alcaraz,carlos_alcaraz
3,Jannik Sinner,tennis,N/A,Italian,Singles,Jannik_Sinner,jannik_sinner
4,Daniil Medvedev,tennis,N/A,Russian,Singles,Daniil_Medvedev,daniil_medvedev
5,Alexander Zverev,tennis,N/A,German,Singles,Alexander_Zverev,alexander_zverev
6,Casper Ruud,tennis,N/A,Norwegian,Singles,Casper_Ruud,casper_ruud
7,Holger Rune,tennis,N/A,Danish,Singles,Holger_Rune,holger_rune
8,Andrey Rublev,tennis,N/A,Russian,Singles,Andrey_Rublev_(tennis),andrey_rublev
9,Taylor Fritz,tennis,N/A,American,Singles,Taylor_Fritz,taylor_fritz
10,Aryna Sabalenka,tennis,N/A,Belarusian,Singles,Aryna_Sabalenka,aryna_sabalenka
